	country_pair	edges	cross_edges	fraction_cross	nodes_country1	nodes_country2
351	AL_BG	45767	23	0.0005025455022177552	312	6744
352	IL_TR	15777965	1359	8.613278074834112e-05	40026	3794987
353	CY_MD	30834	1	3.243173120581177e-05	10599	973
354	IS_LI	35966	0	0.0	6783	190
355	AL_LV	299145	4	1.3371441942870515e-05	297	80637
356	CY_LU	32575	7	0.00021488871834228704	10600	2742
357	GB_UA	49325687	17353	0.00035180452732467773	8243059	145441
358	IS_SK	38053	2	5.255827398628229e-05	6784	1613
359	MD_RS	682998	0	0.0	973	89674
360	MC_UA	475199	10	2.1043815327894207e-05	1558	144663
361	IS_SM	35503	0	0.0	6783	248
362	MD_TR	15351083	18	1.1725557082845555e-06	974	3794829
363	CY_CZ	253127	15	5.925879104165103e-05	10600	44541
364	CH_GE	252518	109	0.0004316523970568435	72307	1325
365	DE_IS	3560406	552	0.0001550384984184388	576454	6793
366	DE_LI	3526002	760	0.00021554156804221892	576526	206
367	HR_SE	1857831	671	0.0003611738634999631	9402	314122
368	BA_BG	52540	37	0.0007042253521126761	3491	6754
369	AZ_BY	421152	140	0.0003324215485145506	17804	97982
370	BG_DK	258856	184	0.0007108199153197145	6769	44316
371	BE_LT	815457	165	0.00020234052807198907	191379	4496
372	EE_FI	478896	1498	0.0031280277972670478	17036	67816
373	PT_SI	3212832	261	8.123674066991365e-05	460208	10038
374	GB_SE	50719188	91422	0.0018025130843971713	8244043	316145
375	DK_MC	215614	7	3.24654243230959e-05	44303	1561
376	MK_NL	9549240	1050	0.00010995639443557811	13910	1458443
377	MK_RS	839006	2340	0.002789014619680908	13859	89727
378	LU_PT	3113472	1004	0.00032246957737214275	2827	460219
379	AZ_RS	778603	129	0.000165681354939552	17823	89688
380	MK_SI	260523	415	0.0015929495668328708	13832	9975
381	IE_MC	1862206	30	1.6109925539924155e-05	399625	1571
382	FR_NO	23591335	5232	0.00022177634288182504	3153083	121450
383	HR_LU	69064	58	0.0008398007645082821	9369	2752
384	FI_GE	440823	21	4.763816769996121e-05	67756	1292
385	BY_IL	751217	140	0.00018636425959476423	97970	39821
386	AT_BG	204972	654	0.003190679702593525	36008	6819
387	IT_ME	5646532	2128	0.0003768684920230683	926240	7170
388	LT_RU	6724708	16023	0.002382705687741386	5496	1382767
389	ES_IE	31176938	30305	0.000972032596658466	4886485	400827
390	GE_RU	6701806	976	0.000145632386255287	1349	1382491
391	DK_SI	317392	77	0.00024260220799516056	44306	9986
392	FI_GB	49299860	25340	0.0005139974028323813	68390	8242864
393	AL_SK	3013	3	0.0009956853634251576	297	1615
394	GB_GR	49548705	41298	0.0008334829336104748	8242961	98239
395	FR_MD	23063758	19	8.238033021331563e-07	3152805	976
396	LU_PL	2404683	201	8.358690105930803e-05	2795	229137
397	SI_TR	15453251	348	2.2519533268436525e-05	10034	3794872
398	IE_TR	17212894	4385	0.00025475088616707916	399896	3795415
399	BE_MK	961850	302	0.000313978271040183	191381	13889
400	PT_RS	3790188	1059	0.00027940566536541195	460369	89863
401	MT_PT	3110177	230	7.395077514880985e-05	1224	460212
402	GR_MT	674035	689	0.001022202111166334	94952	1197
403	MK_MT	157487	3	1.904919136182669e-05	13833	1161
404	NO_PL	2930790	5679	0.0019377028036809188	121310	229205
405	GR_SK	674656	63	9.338092301854575e-05	94939	1631
406	IL_IT	6037192	2537	0.000420228477080073	39987	926308
407	GR_SE	2465771	1750	0.0007097171635159956	95103	314169
408	CH_LI	255312	4084	0.015996114557874287	72351	229
409	FI_PT	3548208	832	0.00023448456234809233	67779	460299
410	AZ_BE	904006	650	0.0007190217764041389	17862	191365
411	MT_RS	682310	98	0.00014362972842256453	1164	89676
412	LT_RS	690589	179	0.0002591990315513279	4490	89677
413	EE_ME	76047	2	2.629952529356845e-05	16982	6965
414	BG_SK	48264	6	0.00012431626056688214	6734	1614
415	SM_TR	15349010	32	2.08482501477294e-06	254	3794830
416	NO_SE	2339637	22782	0.009737407982520365	122130	314687
417	MC_MK	158403	3	1.893903524554459e-05	1557	13831
418	LV_PT	3407538	213	6.250847386001272e-05	80646	460208
419	MC_SE	1794649	28	1.56019366461074e-05	1568	314111
420	NL_RU	16103232	12039	0.0007476138951485018	1459199	1382835
421	FR_GB	72423238	526224	0.007265955162071047	3171149	8256416
422	BY_NL	9715939	483	4.971212766980114e-05	98012	1458479
423	MD_NO	526969	3	5.692934498993299e-06	973	121257
424	IS_IT	5642300	198	3.5092072381830105e-05	6787	926129
425	LI_RO	24476	2	8.171269815329302e-05	190	8275
426	AD_ES	29292189	4053	0.0001383645312407345	770	4885258
427	CY_LI	29209	0	0.0	10598	190
428	BG_IL	473367	29	6.126324817741837e-05	6740	39819
429	GR_RS	1353600	1072	0.0007919621749408984	95039	89770
430	AD_BE	806969	142	0.0001759671065431262	638	191346
431	GB_NL	59114678	886881	0.015002720644101283	8271765	1495114
432	EE_GB	48876684	2654	5.4299919364415146e-05	17110	8242318
433	AZ_IS	133066	0	0.0	17798	6783
434	PL_PT	5512975	4097	0.0007431559185376317	229398	460691
435	AM_IS	43142	0	0.0	2243	6783
436	AM_ME	45445	1	2.2004620970403785e-05	2243	6964
437	MC_RS	683187	59	8.635995708349251e-05	1568	89684
438	BE_IL	1233735	314	0.0002545117063226706	191380	39848
439	RO_SM	24013	2	8.328821888143922e-05	8273	250
440	NL_SE	11193656	9245	0.0008259142500001786	1459125	314464
441	HR_ME	102864	303	0.0029456369575361642	9382	6981
442	IT_LI	5609025	1535	0.00027366610061463445	926212	216
443	BE_GB	49821458	180303	0.0036189828085721617	204649	8249833
444	AT_DE	3782834	99447	0.02628902034823627	39934	578704
445	PL_SM	2400666	6	2.499306442462217e-06	229102	253
446	BY_MD	325632	96	0.00029481132075471697	97979	981
447	AL_PT	3108827	147	4.7284715424821e-05	362	460202
448	NO_SK	527463	36	6.825123278789223e-05	121257	1626
449	HU_IS	123504	224	0.0018137064386578572	27203	6785
450	FI_LT	448749	92	0.00020501438443316865	67764	4499
451	BA_FR	23069721	1276	5.5310595216994606e-05	3697	3152916
452	AZ_LT	107597	107	0.0009944515181650045	17803	4491
453	NL_SM	9392444	9	9.582170519196068e-07	1458414	252
454	HR_UA	537769	41	7.624091384962689e-05	9377	144668
455	CH_HU	343244	4702	0.013698709955600097	72651	27901
456	BE_IE	2671767	6443	0.002411512680559345	192121	400090
457	BE_MT	807147	53	6.566337978088254e-05	191353	1170
458	LT_SE	1802184	281	0.0001559219258410906	4555	314159
459	HU_RU	6789540	2577	0.00037955443225903373	27379	1382553
460	BY_CZ	548655	840	0.001531016759165596	97994	44598
461	CY_SK	31300	6	0.00019169329073482429	10600	1617
462	LT_NL	9402426	492	5.2326920733010823e-05	4537	1458469
463	FR_IL	23498203	8923	0.0003797311649746153	3152937	40048
464	MC_PL	2402938	61	2.5385590472995973e-05	1568	229106
465	AL_SM	462	0	0.0	295	248
